1,1,0.0055248618784530384,RandomParty@3,(Offer  bid:Bid[Pie: a393, ])
1,2,0.0055248618784530384,RandomParty2@4,(Offer  bid:Bid[Pie: a871, ])
1,3,0.0055248618784530384,BoulwareNegotiationParty@5,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price, ])
2,1,0.011049723756906077,RandomParty@3,(Offer  bid:Bid[Pie: a951, ])
2,2,0.011049723756906077,RandomParty2@4,(Offer  bid:Bid[Pie: a95, ])
2,3,0.011049723756906077,BoulwareNegotiationParty@5,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price, ])
3,1,0.016574585635359115,RandomParty@3,(Offer  bid:Bid[Pie: a728, ])
3,2,0.016574585635359115,RandomParty2@4,(Offer  bid:Bid[Pie: a703, ])
3,3,0.016574585635359115,BoulwareNegotiationParty@5,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price, ])
4,1,0.022099447513812154,RandomParty@3,(Offer  bid:Bid[Pie: a293, ])
4,2,0.022099447513812154,RandomParty2@4,(Offer  bid:Bid[Pie: a879, ])
4,3,0.022099447513812154,BoulwareNegotiationParty@5,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price, ])
5,1,0.027624309392265192,RandomParty@3,(Offer  bid:Bid[Pie: a633, ])
5,2,0.027624309392265192,RandomParty2@4,(Offer  bid:Bid[Pie: a57, ])
5,3,0.027624309392265192,BoulwareNegotiationParty@5,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price, ])
6,1,0.03314917127071823,RandomParty@3,(Offer  bid:Bid[Pie: a165, ])
6,2,0.03314917127071823,RandomParty2@4,(Offer  bid:Bid[Pie: a773, ])
6,3,0.03314917127071823,BoulwareNegotiationParty@5,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price, ])
7,1,0.03867403314917127,RandomParty@3,(Offer  bid:Bid[Pie: a476, ])
7,2,0.03867403314917127,RandomParty2@4,(Offer  bid:Bid[Pie: a160, ])
7,3,0.03867403314917127,BoulwareNegotiationParty@5,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price, ])
8,1,0.04419889502762431,RandomParty@3,(Offer  bid:Bid[Pie: a899, ])
8,2,0.04419889502762431,RandomParty2@4,(Offer  bid:Bid[Pie: a622, ])
8,3,0.04419889502762431,BoulwareNegotiationParty@5,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price, ])
9,1,0.049723756906077346,RandomParty@3,(Offer  bid:Bid[Pie: a238, ])
9,2,0.049723756906077346,RandomParty2@4,(Offer  bid:Bid[Pie: a808, ])
9,3,0.049723756906077346,BoulwareNegotiationParty@5,(Offer  bid:Bid[Price: $3.47, Delivery: 20 days, Payment: Upon delivery, Returns: Full price, ])
10,1,0.055248618784530384,RandomParty@3,(Offer  bid:Bid[Pie: a509, ])
10,2,0.055248618784530384,RandomParty2@4,(Offer  bid:Bid[Pie: a236, ])
